name,rating,rating_count,about
FIS,3.8,(6.5k),FinTech | Pune +60 other locations
L&T Technology Services,3.1,(6.5k),IT Services & Consulting | Bengaluru +93 other locations
Oracle,3.4,(6.4k),Software Product | Bengaluru +56 other locations
Omega Healthcare,3.8,(6.4k),BPO | Chennai +69 other locations
Muthoot Finance,3.7,(6.4k),NBFC | Bengaluru +792 other locations
JLL,4.1,(6.3k),Real Estate | Gurugram +86 other locations
IIFL Finance,4.0,(6.3k),NBFC | Mumbai +810 other locations
Indian Army,4.7,(6.3k),Defence & Aerospace | New Delhi +363 other locations
eClerx,3.1,(6.2k),IT Services & Consulting | Pune +32 other locations
HCL Group,3.5,(6.1k),IT Services & Consulting | Chennai +97 other locations
DMart,3.9,(6.1k),Retail | Mumbai +251 other locations
Virtusa Consulting Services,3.7,(6.1k),IT Services & Consulting | Hyderabad +55 other locations
Piramal Finance,4.2,(6k),NBFC | Mumbai +424 other locations
HSBC Group,3.8,(6k),Financial Services | Bengaluru +63 other locations
Indiamart Intermesh,3.5,(6k),Internet | Noida +174 other locations
PolicyBazaar,3.8,(5.9k),Internet | Gurugram +152 other locations
SMFG India Credit,3.9,(5.9k),NBFC | Mumbai +597 other locations
Access Healthcare,3.7,(5.8k),BPO | Chennai +63 other locations
BigBasket,3.9,(5.8k),Internet | Bengaluru +144 other locations
Siemens,3.9,(5.8k),Industrial Automation | Bengaluru +155 other locations
Aurobindo Pharma,4.0,(5.8k),Pharma | Hyderabad +115 other locations
Udaan,3.9,(5.7k),Internet | Bengaluru +367 other locations
Manappuram Finance,3.9,(5.7k),NBFC | Bengaluru +659 other locations
GlobalLogic,3.5,(5.7k),IT Services & Consulting | Hyderabad +62 other locations
Firstsource Solutions,3.5,(5.7k),BPO | Bengaluru +74 other locations
ICICI Lombard General Insurance Company,3.5,(5.7k),Insurance | Mumbai +319 other locations
Tata Capital,4.0,(5.7k),NBFC | Mumbai +450 other locations
Shapoorji Pallonji Group,4.1,(5.7k),Engineering & Construction | Mumbai +189 other locations
Standard Chartered,3.6,(5.7k),Banking | Chennai +67 other locations
UST,3.7,(5.6k),IT Services & Consulting | Bengaluru +52 other locations
Apollo Hospitals,4.1,(5.6k),Healthcare | Chennai +228 other locations
Mahindra Finance,3.9,(5.6k),NBFC | Mumbai +737 other locations
Bosch Global Software Technologies,3.7,(5.6k),IT Services & Consulting | Bengaluru +47 other locations
Ashok Leyland,4.0,(5.6k),Automobile | Chennai +266 other locations
Swiggy,3.7,(5.5k),Internet | Bengaluru +238 other locations
Citicorp,3.6,(5.5k),Financial Services | Pune +68 other locations
Hero MotoCorp,4.1,(5.4k),Automobile | Gurugram +370 other locations
CGI Group,4.0,(5.4k),IT Services & Consulting | Bengaluru +44 other locations
Cyient,3.6,(5.3k),IT Services & Consulting | Hyderabad +49 other locations
SBI Cards & Payment Services,3.6,(5.3k),Financial Services | Gurugram +444 other locations
BNY,3.6,(5.2k),Financial Services | Pune +27 other locations
Kalpataru Projects International,4.2,(5.2k),Engineering & Construction | Mumbai +325 other locations
NTT DATA,3.8,(5.2k),IT Services & Consulting | Bengaluru +81 other locations
IQVIA,3.7,(5.2k),Clinical Research | Bengaluru +67 other locations
Nagarjuna Construction Company,4.0,(5.2k),Engineering & Construction | Hyderabad +298 other locations
JustDial,3.5,(5.1k),Internet | Noida +232 other locations
Schneider Electric,4.1,(5.1k),Industrial Automation | Bengaluru +120 other locations
SBI Life Insurance Company,3.7,(5.1k),Insurance | Mumbai +658 other locations
TVS Motor,3.9,(5.1k),Automobile | Hosur +353 other locations
CBRE,4.1,(5.1k),Real Estate | Hyderabad +92 other locations
Persistent Systems,3.6,(5k),IT Services & Consulting | Pune +41 other locations
State Bank of India,3.8,(4.9k),Banking | Mumbai +626 other locations
Atos,3.8,(4.9k),IT Services & Consulting | Pune +49 other locations
vivo,4.1,(4.9k),Consumer Electronics & Appliances | Noida +415 other locations
KEC International,4.0,(4.9k),Engineering & Construction | Mumbai +314 other locations
Amdocs,3.6,(4.8k),Software Product | Pune +24 other locations
Ecom Express,4.0,(4.8k),Logistics | Gurugram +779 other locations
ITC Infotech,3.8,(4.8k),IT Services & Consulting | Bengaluru +68 other locations
JBM Group,3.9,(4.8k),Auto Components | Gurugram +118 other locations
Varun Beverages,4.0,(4.8k),Beverage | New Delhi +383 other locations
Eviden,3.6,(4.8k),IT Services & Consulting | Pune +39 other locations
Nagarro,3.9,(4.7k),IT Services & Consulting | Gurugram +49 other locations
Randstad,3.7,(4.7k),Recruitment | Hyderabad +362 other locations
Utkarsh Small Finance Bank,3.6,(4.7k),Banking | Varanasi +413 other locations
Bosch,4.1,(4.7k),Auto Components | Bengaluru +132 other locations
EY Global Delivery Services ( EY GDS),3.5,(4.6k),IT Services & Consulting | Bengaluru +56 other locations
Hewlett Packard Enterprise,4.0,(4.6k),IT Services & Consulting | Bengaluru +104 other locations
Aditya Birla Fashion and Retail,4.0,(4.6k),Fashion & Textile | Bengaluru +293 other locations
Cars24,3.5,(4.6k),Internet | Gurugram +172 other locations
L&T Finance,3.9,(4.6k),NBFC | Mumbai +644 other locations
Home Credit Finance,4.0,(4.6k),NBFC | Gurugram +139 other locations
Havells,3.9,(4.5k),Electrical Equipment | Noida +263 other locations
Mahindra Logistics,3.7,(4.5k),Logistics | Mumbai +234 other locations
Dell,3.8,(4.5k),Consumer Electronics & Appliances | Bengaluru +118 other locations
R1 RCM,3.8,(4.5k),BPO | New Delhi +46 other locations
Intas Pharmaceuticals,4.1,(4.5k),Pharma | Ahmedabad +150 other locations
OPPO,3.9,(4.5k),Consumer Electronics & Appliances | Greater Noida +413 other locations
Tata AIA Life Insurance,3.9,(4.5k),Insurance | Mumbai +448 other locations
Hetero,3.9,(4.5k),Pharma | Hyderabad +70 other locations
Hyundai Motor India Limited,4.1,(4.4k),Automobile | Chennai +291 other locations
Deutsche Bank,3.8,(4.4k),Banking | Pune +42 other locations
Berger Paints,3.7,(4.4k),Chemicals | Kolkata +362 other locations
Motilal Oswal Financial Services,3.7,(4.4k),Financial Services | Mumbai +170 other locations
Lenskart,3.3,(4.4k),Internet | New Delhi +247 other locations
TeamLease Services,3.9,(4.3k),Recruitment | Bengaluru +401 other locations
VE Commercial Vehicles,3.9,(4.3k),Automobile | Indore +181 other locations
Thermax Limited,4.2,(4.2k),Industrial Machinery | Pune +256 other locations
Macleods Pharmaceuticals,3.7,(4.2k),Pharma | Mumbai +135 other locations
Jubilant Foods Works,3.7,(4.2k),Hospitality | Noida +264 other locations
Bajaj Auto,3.8,(4.2k),Automobile | Pune +321 other locations
Carelon Global Solutions,3.9,(4.2k),IT Services & Consulting | Bengaluru +21 other locations
Aakash Educational Services,3.2,(4.2k),Education & Training | New Delhi +249 other locations
Kogta Financial India Limited,4.7,(4.1k),NBFC | Jaipur +261 other locations
LG Electronics,3.8,(4.1k),Consumer Electronics & Appliances | Pune +300 other locations
Hindalco Industries,4.2,(4.1k),Metals & Mining | Sambalpur +130 other locations
Jindal Steel Limited,3.9,(4.1k),Iron & Steel | Angul +175 other locations
State Street Corporation,3.5,(4.1k),Financial Services | Bengaluru +35 other locations
Royal Enfield,4.2,(4.1k),Automobile | Chennai +378 other locations
DCB Bank,3.8,(4k),Banking | Mumbai +347 other locations
HDFC Ergo General Insurance,4.0,(4k),Insurance | Mumbai +328 other locations
Tata Communications,3.9,(4k),Telecom | Pune +102 other locations
John Deere,4.0,(4k),Industrial Machinery | Pune +154 other locations
RBL Bank,3.5,(4k),Banking | Mumbai +291 other locations
Cummins,4.3,(4k),Industrial Machinery | Pune +116 other locations
Publicis Sapient,3.2,(3.9k),IT Services & Consulting | Bengaluru +46 other locations
Cloudnine Hospital,4.5,(3.9k),Healthcare | Bengaluru +46 other locations
Bank of America,4.1,(3.9k),Banking | Gurugram +35 other locations
Alembic Pharmaceuticals,3.9,(3.9k),Pharma | Vadodara +188 other locations
Pidilite Industries,4.2,(3.9k),Chemicals | Mumbai +320 other locations
Oyo Rooms,3.0,(3.9k),Internet | Gurugram +121 other locations
Aditya Birla Sun Life Insurance,4.0,(3.8k),Insurance | Mumbai +499 other locations
American Express,4.1,(3.8k),Financial Services | Gurugram +55 other locations
Grasim Industries,4.0,(3.8k),Building Material | Bharuch +251 other locations
